sno,Hotel_Name,Room_type,Single_Bed,Double_bed,price
2665,Jumeirah Zabeel Saray,Superior King Room with Balcony,single bed,double bed,25966
2666,Karama Star Residence (Home Stay),Double or Twin Room with Private Bathroom,,double bed,4313
2667,Ramada Plaza by Wyndham Dubai Deira,DeLuxe Room,single bed,double bed,6571
2668,Hyatt Place Dubai Baniyas Square,King Room with Sofa Bed and View,single bed,double bed,13096
2669,Sea View Hotel Dubai,Deluxe Room,single bed,double bed,4657
2670,Novotel Deira City Centre,Standard Twin Room,single bed,double bed,9043
2671,Gulf Inn Hotel Al Nasr Formerly Roda Links Al Nasr,Classic King Room,single bed,double bed,4929
2672,Best Western Plus Pearl Creek,Standard King Room,single bed,double bed,8392
2673,"Songs of the Lake by Lagom - Bonnington Apartment Jumeirah Lake Towers,",One-Bedroom Apartment,,double bed,11776
2674,DAMAC Maison Cour Jardin,Deluxe Room Downtown View,single bed,double bed,10059
2675,Helnan Royal,Deluxe King Room,single bed,double bed,10160
2676,Zain International Hotel,Standard Double Room,single bed,double bed,4336
2677,Jumeirah Al Qasr,Arabian Deluxe & Wild Wadi Waterpark™ Access,single bed,double bed,38610
2678,Adagio Premium The Palm,Studio King with Private Beach Access,single bed,double bed,11967
2679,AL Raien Hotel Apartment,Deluxe Double Studio,single bed,double bed,3861
2680,SIMPLY COMFORT in J ONE Tower,Deluxe King Studio,single bed,double bed,10319
2681,Melody Queen Hotel by AURA,Standard Double Room,single bed,double bed,2725
2682,LEGOLAND Hotel Dubai,"Adventure Themed Room with Complimentary Park Access, Breakfast, Creative Workshops, In-Room Treasure Hunt and Kids Activities",,double bed,17882
2683,EXCLUSIVE 2 BEDROOM LUXURY APARTMENT IN SOBHA CREEK VISTAS,Two-Bedroom Apartment,,double bed,6365
2684,Le Wana Hotel,Deluxe Double or Twin Room,single bed,double bed,5170
2685,Capitol Hotel,Standard Double Room,single bed,double bed,7903
2686,Three 888 Hotel,Standard Double Room,single bed,double bed,5345
2687,Grand Plaza Mövenpick,Superior King Room,single bed,double bed,14112
2688,STAY Staggering 1 Bedroom Holiday Home near Burj Khalifa,One-Bedroom Apartment,,double bed,7642
2689,Shukran Homes Lux 1BR With Fountains View,One-Bedroom Apartment,,double bed,8687
2690,Riviera Hotel,"Standard Room Souk View, Balcony - Free Beach Transfer, 25% off Food & Beverage",single bed,double bed,9974
2691,Atana Hotel,Standard King Room,single bed,double bed,6909
2692,Grand Millennium Dubai,Superior King Room,single bed,double bed,10725
2693,"Courtyard by Marriott Dubai, Al Barsha",Standard King Room,single bed,double bed,10160
2694,Millennium Place Dubai Marina,SUPERIOR ROOM,single bed,double bed,11792
2695,Grand Nova Hotel,Double or Twin Room,single bed,double bed,4654
2696,Dubai Marriott Harbour Hotel And Suites,One-Bedroom Suite with City View,single bed,double bed,19395
2697,Le Royal Meridien Beach Resort & Spa Dubai,"Super Deluxe, Guest room, 1 King, City View",single bed,double bed,28224
2698,Swissôtel Al Ghurair Dubai,Classic King Room,single bed,double bed,12071
2699,Rove Trade Centre,Rover Room,single bed,double bed,11262
2700,Sofitel Dubai The Obelisk,Deluxe Room,single bed,double bed,18492
2701,Royalton Hotel,Standard Twin Room,single bed,double bed,4073
2702,Sheraton Jumeirah Beach Resort,"Deluxe Room JBR View, 2 twin beds",single bed,double bed,19192
2703,"voco Dubai The Palm, an IHG Hotel",Deluxe Room,single bed,double bed,18966
2704,Property Guru,One-Bedroom Apartment,,double bed,3048
2705,Relaxing and cosy studio Dubai marina,One-Bedroom Apartment,,double bed,8128
2706,Moscow Hotel,Standard Double Room,single bed,double bed,6451
2707,Best Western Plus Dubai Academic City,Executive Double Room,single bed,double bed,6211
2708,Dream House Hostel 226R-3,One-Bedroom Apartment,,double bed,2282
2709,Nine Hotel,Double Room,single bed,double bed,3315
2710,Rove Healthcare City - Bur Dubai,Rover Room,single bed,double bed,6748
2711,Majestic Premier Hotel Burdubai,"Classic Room, 1 King",single bed,double bed,8226
2712,Roda Al Murooj Residences,One-Bedroom Apartment,single bed,double bed,14338
2713,"sleep 'n fly Sleep Lounge, C-Gates Terminal 3 - TRANSIT ONLY",Single or Double YAWN Cabin - 10 Hour Day Stay from 13:00-23:00 hrs (1pm-11pm),single bed,double bed,7451
2714,2 chambres 10 min Burj Khalifa,Two-Bedroom Apartment,,double bed,11583
2715,The Muse,Deluxe Loft Studio,,double bed,14225
2716,URBAN Al Khoory Hotel,Classic Room,single bed,double bed,6429
2717,Elegant Apartment Overlooking Dubai Mall Fountain.,One-Bedroom Apartment,,double bed,18063
2718,Pullman Dubai Creek City Centre,Superior Double Room,single bed,double bed,15241
2719,"Suha Creek Hotel Apartment, Waterfront Jaddaf, Dubai",City View Studio Apartment,,double bed,10675
2720,Roda Beach Resort,Studio,single bed,double bed,15783
2721,LUX The Ultimate Palm Sea Skyline Penthouse,Apartment,single bed,double bed,60918
2722,Luxury 2 Bedroom With Burj Khalifa View,Two-Bedroom Apartment,,double bed,19757
2723,Golden Angles - Peak living luxury 2BR Souk AL-Bahar Beside Dubai mall & burj khalifa view,Two-Bedroom Apartment,,double bed,21459
2724,Majestay - Luxury Living,Two-Bedroom Apartment,,double bed,30878
2725,Deluxe Retreat In JBR - Million Dollar View - Balcony,Apartment with Sea View,single bed,double bed,41328
2726,Jewellery Homes in Amwaj 4 with direct beach access,Two-Bedroom Apartment,,double bed,10076
2727,Cosmos Living Downtown Dubai,One-Bedroom Apartment,,double bed,16257
2728,Jewellery Homes in Continental tower Dubai Marina,Two-Bedroom Apartment,single bed,double bed,10076
2729,Five Palm Jumeirah Residence,One-Bedroom Apartment,,double bed,106177
2730,Golden Sands Suites,Premier Two Bedroom Suite with Balcony,single bed,double bed,26533
2731,STAY Fascinating 1 Bedroom Holiday Home near Burj Khalifa,One-Bedroom Apartment,,double bed,7642
2732,"Dubai Marina, Two bedrooms apartment with full Marina View",Two-Bedroom Apartment,,double bed,27205
2733,Lincoln Park -West Side Damac,One-Bedroom Apartment,,double bed,5385
2734,STAY Astounding 2 BR Holiday Home with Creek Views near Burj Khalifa,Two-Bedroom Apartment,,double bed,11717
2735,bnbmehomes - The Residence Tower-6 - 2B in DT- 501,Two-Bedroom Apartment,,double bed,17273
2736,Westminster Souk Albahar- Burj Khalifa,Two-Bedroom Apartment,,double bed,20099
2737,bnbmehomes - 2 BR Stunning Lake Views in Al Turia - 205,Two-Bedroom Apartment,,double bed,11995
2738,STAY Astonishing 1 BR holiday home near Burj Khalifa,One-Bedroom Apartment,,double bed,7239
2739,BOULEVARD HEIGHTS,Two-Bedroom Apartment,,double bed,20727
2740,bnbmehomes - Jetset Life Style at Address Residences - 3908,One-Bedroom Apartment,,double bed,17033
2741,STAY Spectacular 1 Bedroom Holiday Home near Burj Khalifa,One-Bedroom Apartment,,double bed,7642
2742,A3301 Paramount hotel 5 star two bedroom burj Khalifa around,Two-Bedroom Apartment,single bed,double bed,27433
2743,STAY Delightful 2 Bedroom Holiday Home with Creek Views near Burj Khalifa,Two-Bedroom Apartment,,double bed,11717
2744,Sonder Business Bay,Studio with Balcony,single bed,double bed,16728
2745,Address Dubai mall Balcony Burj view,One-Bedroom Apartment,,double bed,13457
2746,STAY Stunning 1 Bedroom Holiday Home Near Burj Khalifa,One-Bedroom Apartment,,double bed,7642
2747,Silkhaus perfect 1BDR near Dubai Mall in Downtown,Apartment,,double bed,9890
2748,STAY Splendid Studio Holiday Home near Burj Khalifa,Studio,single bed,,8049
2749,D3001 Paramount hotel residence 5 star luxury 2bedroom close to Burj Khalifa and Dubai mall,Two-Bedroom Apartment,single bed,double bed,20118
2750,Wyndham Residences The Palm,Deluxe Studio with Private Beach Access,single bed,double bed,15896
2751,STAY Breathtaking Luxury 1 Bedroom Holiday Home near to Burj Khalifa,One-Bedroom House,single bed,,9170
2752,Marina Dubai Hostel,King Studio,single bed,double bed,9144
2753,YouCo Dubai,Studio,single bed,double bed,8657
2754,Marina SKY Penthouse,Penthouse Apartment,single bed,double bed,50802
2755,bnbmehomes - Lux 2 BR Apt with Bluewaters View - 2607,Two-Bedroom Apartment,,double bed,22295
2756,Amazing View Dubai Marina,Two-Bedroom Apartment,,double bed,16257
2757,Premium 2+1 BR condo in the heart of Bluewaters Island,Apartment with Sea View,single bed,double bed,43351
2758,New 1BR close to Burj Khalifa,One-Bedroom Apartment,,double bed,12193
2759,bnbmehomes - Look over the Palm and Sea from Every Room - 504,One-Bedroom Apartment,,double bed,12595
2760,Address Dubai Mall Residence - Four Apple,Deluxe Studio,,double bed,27095
2761,Ultimate Stay / 3 Beds / Gorgeous Frame and Park View / 250m from Metro / 1 Stop from World Trade Center,Two-Bedroom Apartment,,double bed,25401
2762,Ultimate Stay - 4 Beds - La Mer - Sunset Marina View,Two-Bedroom Apartment,,double bed,29217
2763,Dubai Marina - Stunning Huge 4 Bedroom Apts Near JBR - Gym - Pool - Parking by Sojo Stay,Superior Apartment,single bed,double bed,39029
2764,ESAW Holidays Home,Two-Bedroom Apartment,,double bed,12418
2765,Paramount Hotel Midtown,Scene Room City View,single bed,double bed,22752
2766,"Luxe Apartments near Dubai Mall, Burj Khalifa - Pool, Gym, & Parking by Sojo Stay",One-Bedroom Apartment,single bed,double bed,15627
2767,"Most beautiful 3 BR apt in BLUEWATERS ISLAND, DUBAI",Apartment with Sea View,single bed,double bed,96327
2768,Lux BnB Studio Downtown Fountain View,One-Bedroom Apartment,,double bed,12170
2769,Spacious 5 beds 3 min from the JBR beach,Apartment,single bed,double bed,19982
2770,Wonderful 2BD with full Dubai marina view,Two-Bedroom Apartment,single bed,double bed,24667
2771,Magnolia- Dubai Creek Harbour Condo Apartment ApartHotel UAE,Three-Bedroom Apartment,,double bed,28957
2772,bnbmehomes - High-floor Skyscraper - Sea View - 4801,Apartment,single bed,double bed,21471
2773,bnbmehomes - Pvt Hot Tub w Burj Khalifa view - 6037,One-Bedroom Apartment,,double bed,14274
2774,The Dubai EDITION,Guest King Room with Balcony,,double bed,33394
2775,FAHH - Posh and Chic Studio at Address Dubai Mall,Studio Apartment,,double bed,27095
2776,bnbmehomes - Luxury 2B Apt - Al Habtoor - Amna Tower - 4405,Two-Bedroom Apartment,,double bed,12835
2777,bnbmehomes - Lux 2B Apt - Dubai Canal Water View - 4406,Two-Bedroom Apartment,,double bed,15915
2778,Hyde Hotel Dubai,Hyde Out Room with Balcony,single bed,double bed,21450
2779,Unlock Metropolis Business Bay,Studio with Kitchen & Balcony,,double bed,9797
2780,BellaVista - 29 Boulevard Downtown Sophisticated 2 Bedroom Apartment Burj & Fountain View,Two-Bedroom Apartment,,double bed,22333
2781,3Bed Room Spectacular view in Marina,Apartment,,double bed,22516
2782,Days Hotel By Wyndham Dubai Deira,"Superior Twin Room, City view, 25% off Spa",single bed,double bed,7790
2783,Address Residences Dubai Opera - Full Burj Khalifa View,Two-Bedroom Apartment,,double bed,21156
2784,Element Dubai Airport,Twin Studio - Complimentary Transfer to Dubai Mall / Burj Khalifa & DXB Airport Shuttle Drop Off,single bed,double bed,8693
2785,"Waterfront Luxury 3BR with maids room in JBR, Dubai",Deluxe Apartment,single bed,double bed,45461
2786,TIME Asma Hotel,"Deluxe King Room - Inclusive of 20% Discount on F&B, Laundry and SPA",single bed,double bed,8687
2787,Luxe 3 BR Oceanfront Apt with maids room in the heart of Bluewaters Island,Apartment,single bed,double bed,87425
2788,"Element Al Mina, Dubai","Studio 2 Single Beds, City view - Complimentary Transfer to Dubai Mall / Burj Khalifa & DXB Airport Shuttle Drop Off",single bed,double bed,15354
2789,Burj Royale -1BHK - Downtown - Ezytrac Vacation Homes,One-Bedroom Apartment,,double bed,15833
2790,"Aloft Al Mina, Dubai",Aloft Room Guest Room with 1 King Bed - Complimentary Transfer to Dubai Mall / Burj Khalifa & DXB Airport Shuttle Drop Off,single bed,double bed,9370
2791,ABAR HOTEL APARTMENTS DIP-1,Studio Apartment,single bed,double bed,7518
2792,BellaVista 29 Boulevard 2 Bedroom Burj Khalifa & Fountain View,Two-Bedroom Apartment,single bed,double bed,40622
2793,Residence Inn by Marriott Al Jaddaf,"Studio Suite, 1 King, Balcony",single bed,double bed,15783
2794,bnbmehomes - 59th Floor Sea View - Heart of Marina - 5903,Two-Bedroom Apartment,single bed,double bed,11875
2795,TIME Onyx Hotel Apartments,Studio,single bed,double bed,11797
2796,"Luxury residential apartments located in Anantara area , pool , beach , free parking",Suite with Sea View,,double bed,24611
2797,bnbmehomes - Private Beach in a Resort with DJ & Infinity Pool - 10201,One-Bedroom Apartment,,double bed,10796
2798,bnbmehomes - 1 Bed - Seconds to Dubai Mall - 1106,One-Bedroom Apartment,,double bed,10076
2799,Bespoke Residences - 2 Bedroom Apartment in The 8 Residences,Apartment with Sea View,,double bed,42633
2800,"Element Al Jaddaf, Dubai","Studio with 2 Double Beds (Complimentary Transfer to Dubai Mall, Festival City Mall, La Mer Beach & Al Jaddaf Metro)",,double bed,14563
2801,"bnbmehomes - Private Beach, Infinity Pool, Beach Club at Andaaz -204",One-Bedroom Apartment,,double bed,15474
2802,Jumeirah Living Marina Gate Hotel and Apartments,Executive Studio,single bed,double bed,18063
2803,Royal Continental Suites Business Bay - Deluxe Apartments,Studio Apartment City View,single bed,double bed,10771
2804,Luxurious 3 BR w maidroom in BLUEWATERS ISLAND,Apartment with Sea View,single bed,double bed,101096
2805,Spectacular 3 BR condo with maids room facing the Dubai Eye,Apartment with Sea View,single bed,double bed,91717
2806,Lavish & Equipped oceanfront 2 BR facing Ain Dubai,Apartment with Sea View,single bed,double bed,69940
2807,Contemporary and Spacious 2 BR in Bluewaters Island,Apartment with Sea View,single bed,double bed,57860
2808,Burj Royale -1BHK - Downtown - Ezytrac Vacation Homes,One-Bedroom Apartment,,double bed,15833
2809,Maison Privee - Prvt Pool & Beach Access in Luxury Palm Jumeirah 6BR Villa,Villa,,double bed,137136
2810,Dusit Princess Residences Dubai Marina,One-Bedroom Apartment,single bed,double bed,12342
2811,bnbmehomes - Traditional meets modern in Downtown - 5041,Two-Bedroom Apartment,,double bed,12835
2812,bnbmehomes - Beach&Pool - Fairmont Residences - 3605,One-Bedroom Apartment,,double bed,14034
2813,Eden's Dubai - FIVE Palm Residences,One-Bedroom Apartment with Sea View,,double bed,21809
2814,Stay by Latinem Luxury 1BR SWA1006 Holiday Home near Burj Khalifa,One-Bedroom Apartment,,double bed,13127
2815,Maison Privee - Stunning Waterfront Apt with Marina View nxt to Beach,Two-Bedroom Apartment,,double bed,12162
2816,ME Dubai by Meliá,Always ME,,double bed,29014
2817,"Crowne Plaza Dubai Marina, an IHG Hotel",Standard Room,single bed,double bed,14834
2818,Andaz Residence by Hyatt - Palm Jumeirah,Studio Apartment,single bed,double bed,26756
2819,Hyatt Place Dubai Jumeirah,Twin Room with Sofa Bed,single bed,double bed,13005
2820,Millennium Montrose Hotel Apartment,Superior Studio,,double bed,7620
2821,Hyatt Place Dubai Jumeirah Residences,Studio with Kitchen,single bed,double bed,13592
2822,Andaz by Hyatt – Palm Jumeirah,King Room,single bed,double bed,22579
2823,Millennium Place Barsha Heights Hotel Apartments,Superior King Studio,single bed,double bed,8687
2824,Bella Vista - 29 Boulevard Downtown Burj Khalifa,Vibrant 1-Bedroom Apartment Burj Khalifa & Fountain Views,single bed,double bed,18041
2825,Paramount Hotel Dubai,Scene Room Downtown View,single bed,double bed,16629
2826,Rixos The Palm Luxury Suite Collection - Ultra All Inclusive,Two-Bedroom Luxury Suite,,double bed,124974
2827,Waldorf Astoria Dubai International Financial Centre,King Corner Room with Skyline View,,double bed,36042
2828,Hyatt Place Dubai Wasl District Residences,One-Bedroom Apartment with Kitchen,single bed,double bed,14563
2829,"Mandarin Oriental Jumeira, Dubai",Superior Double Room,single bed,double bed,81284
2830,Maison Privee - Luxury Living Next to Dubai Mall & Burj Khalifa,One-Bedroom Apartment,,double bed,16765
2831,Mövenpick Hotel Apartments Downtown Dubai,Deluxe King Room,single bed,double bed,23708
2832,Canal Central Hotel,Deluxe Room Partial Bay View with free access to Hotel's private beach at Palm - Jumeirah,single bed,double bed,19869
2833,DoubleTree by Hilton Hotel and Residences Dubai – Al Barsha,Twin Guest Room,single bed,double bed,6663
2834,Gevora Hotel,Deluxe Room,,double bed,13448
2835,Maison Privee - Central Dubai Apt with Danish Twist & Burj Khalifa Views,Apartment,,double bed,27403
2836,"Element Me'aisam, Dubai","Studio Apartment – King Bed (Complimentary Breakfast & Shuttle to Sobha Realty Metro Station, JBR Beach & Mall of the Emirates)",single bed,double bed,7658
2837,"FORM Hotel Dubai, a Member of Design Hotels",Cozy Queen Room with City View,single bed,double bed,7790
2838,"Bulgari Resort, Dubai",Deluxe King Guest Room with Beach View with Balcony,single bed,double bed,97089
2839,Elite 8 sport city,One-Bedroom Apartment,,double bed,4064
2840,Class Hotel Apartments,Standard Studio Apartment,single bed,double bed,8941
2841,The St Regis Downtown Dubai,Deluxe Double Room with Two Double Beds and Canal View including Signature St. Regis Butler Service,single bed,double bed,28224
2842,Barceló Residences Dubai Marina,One-Bedroom Apartment,single bed,double bed,9677
2843,DAMAC Maison Distinction,Deluxe Room with Downtown View,single bed,double bed,17273
2844,Al Bandar Arjaan by Rotana – Dubai Creek,City View Studio - Twin Beds,single bed,double bed,12193
2845,Al Bandar Rotana – Dubai Creek,City View Room - King Bed,single bed,double bed,11177
2846,Rixos Premium Dubai JBR,Deluxe Double Room,single bed,double bed,31701
2847,Nikki Beach Resort & Spa Dubai,Covet Twin Room,single bed,double bed,42900
2848,Royal Continental Hotel,Superior King Room,single bed,double bed,6772
2849,"La Ville Hotel & Suites CITY WALK Dubai, Autograph Collection","Deluxe Room, Guest room, 1 King",,double bed,28653
2850,Dream Inn Apartments - Burj Residences Burj Khalifa View,Spectacular 2-Bedroom Apartment Fountain View,single bed,double bed,20672
2851,Jumeirah Al Naseem,Resort Deluxe & Wild Wadi Waterpark™ Access,,double bed,71123
2852,Aspen Chalets by Kempinski Hotel Mall of The Emirates,Grand Deluxe Room City View,single bed,double bed,47393
2853,"Habtoor Palace Dubai, LXR Hotels & Resorts",Deluxe Double Room with Two Double Beds,,double bed,21235
2854,Adagio Premium Dubai Al Barsha,One-Bedroom Apartment,single bed,double bed,10138
2855,Jannah Place Dubai Marina,Studio Apartment,single bed,double bed,6751
2856,Pullman Dubai Creek City Centre Residences,Studio Apartment,single bed,double bed,15647
2857,"Sheraton Grand Hotel, Dubai","Deluxe Room, Guest room, King",single bed,double bed,28224
2858,Astonishing Marina & sea view modern apartment,One-Bedroom Apartment,,double bed,8128
2859,DAMAC Maison Canal Views,Deluxe Room Downtown View,single bed,double bed,11958
2860,City Premiere Marina Hotel Apartments,Standard One-Bedroom Apartment,single bed,double bed,12191
2861,DoubleTree by Hilton Dubai Jumeirah Beach,One-Bedroom Family Suite,single bed,double bed,20705
2862,Hyatt Place Dubai Al Rigga,Twin Room with Sofa Bed,single bed,double bed,11741
2863,Carlton Downtown Hotel,Suite,single bed,double bed,13914
2864,"Ramada Hotel, Suites and Apartments by Wyndham Dubai JBR",Deluxe King Room - Mobility and Hearing Impaired Access/Non-Smoking,single bed,double bed,12137
2865,Marriott Executive Apartments Dubai Al Jaddaf,One-Bedroom Apartment (Complimentary Shuttle to La Mer and Dubai Mall),single bed,double bed,13547
2866,Waldorf Astoria Dubai Palm Jumeirah,Superior King Room,,double bed,26544
2867,DAMAC Maison Mall Street,One Bedroom Suite - City View,single bed,double bed,14631
2868,Ivory Grand Hotel Apartments,Classic One-Bedroom Apartment,single bed,double bed,8718
2869,Grand Heights Hotel Apartments,Classic Studio,,double bed,8041
2870,Conrad Dubai,Deluxe Double Room with Two Double Beds and Sea View,single bed,double bed,28801
2871,Anantara Downtown Dubai,Premier City View Room,single bed,double bed,18695
2872,JW Marriott Marquis Hotel Dubai,Executive Suite with Lounge Access,single bed,double bed,41771
2873,"Delta Hotels by Marriott Jumeirah Beach, Dubai",Standard King Room - Complimentary beach kit and private beach pass (extra fee),single bed,double bed,14663
2874,City Premiere Hotel Apartments - Dubai,Standard One-Bedroom Apartment,single bed,double bed,9079
2875,Grand Hyatt Residence,Two-Bedroom Apartment,single bed,double bed,22579
2876,The Canvas Dubai - MGallery Hotel Collection,Superior King Room,single bed,double bed,11515
2877,Citadines Metro Central Apartments,Deluxe One Bedroom Apartment,single bed,double bed,11542
2878,The Ritz-Carlton Executive Residences,One-Bedroom Apartment,single bed,double bed,64350
2879,Nassima Tower Hotel Apartments,Standard Two-Bedroom Apartment,single bed,double bed,26417
2880,Marina View Deluxe Hotel Apartment,Double Room,single bed,double bed,8851
2881,"The Ritz-Carlton, Dubai International Financial Centre",Deluxe Room King or Two Queen beds,,double bed,59270
2882,Avani Deira Dubai Hotel,AVANI Room,single bed,double bed,7284
2883,Luxury apartment Downtown Dubai !,One-Bedroom Apartment,,double bed,14530
2884,Oaks Ibn Battuta Gate Dubai,Premier Room with Free access to a Private Beach Club,single bed,double bed,10567
2885,"Residence Inn by Marriott Sheikh Zayed Road, Dubai","Deluxe Studio with 1 King, City view",single bed,double bed,13547
2886,Al Raya Hotel Apartments,Partner offer option,single bed,double bed,10065
2887,"InterContinental Residence Suites Dubai Festival City, an IHG Hotel",Classic Room,single bed,double bed,15647
2888,Savoy Suites Hotel Apartment - Newly Renovated,Studio Suite - Free Bus service to La Mer Beach at Jumeirah with Beach Mats & Beach Towels,single bed,double bed,15409
2889,Mövenpick Hotel Apartments Al Mamzar Dubai,Superior King Room,single bed,double bed,7620
2890,Hyatt Regency Galleria Residence Dubai,Premium Studio with Kitchen,single bed,double bed,15075
2891,"The Apartments, Dubai World Trade Centre Hotel Apartments",Superior Double Room,single bed,double bed,14397
2892,Centro Barsha - by Rotana,Centro Room – Queen Bed,single bed,double bed,6751
2893,Marriott Executive Apartments Dubai Creek,One-Bedroom Apartment,single bed,double bed,9709
2894,Sofitel Dubai Jumeirah Beach,Superior King Room with Partial Sea View - Pool Access,single bed,double bed,22333
2895,MD Hotel By Gewan,Superior Twin Room - Complimentary Transfer to Bluewater Island and JBR,single bed,double bed,5337
2896,Deira Suites Deluxe Hotel Suites,2 bedroom,single bed,double bed,14224
2897,Signature Hotel Apartments and Spa,Superior Studio,single bed,double bed,8552
2898,The H Dubai,Deluxe King Room,single bed,double bed,17896
2899,"The Ritz-Carlton, Dubai","Deluxe Room, Balcony with Garden View",,double bed,38384
2900,Savoy Park Hotel Apartments,"Classic Studio Suite with Complimentary Shuttle to La Mer Beach (inclusive of Beach Mats & Beach Towels), BurJuman Mall and Outlet Mall",single bed,double bed,8921
2901,KL Summer Suite @ Mercu Summer Suite KLCC,One-Bedroom Apartment,single bed,double bed,2517
2902,Sky Suites KLCC by GENESIS,Three-Bedroom Apartment,single bed,double bed,176900
2903,Anggun Luxury Suite,One-Bedroom Apartment,,double bed,6178
2904,Lily and Loft - Queensville @ Kuala Lumpur - Netflix,Studio Apartment,,double bed,2972
2905,Lucantia Serviced Suites Kuala Lumpur,Standard Suite,,double bed,3705
2906,"Central Residence Homestay2 @ Sungai Besi, Kuala Lumpur",Two-Bedroom Apartment,,double bed,3118
2907,Chambers Suites KL BY Fortune,Queen Studio,single bed,double bed,2276
2908,Chambers Serviced Suites Kuala Lumpur,Superior Studio,single bed,double bed,2396
2909,Axon Bukit Bintang Residence By Perkasa,Deluxe Queen Room,single bed,double bed,6192
2910,BBS Apartment At Times Square,One-Bedroom Apartment,single bed,double bed,3676
2911,Bukit Bintang Suite at Times Square KL,Studio Suite,single bed,double bed,2850
2912,The Platinum Kuala Lumpur by Cozy White,One-Bedroom Apartment,,double bed,4761
2913,Starlight Suite at Mercu Summer Suite KLCC,Studio with Balcony,single bed,double bed,3138
2914,Excellent Serviced Suite Kl,Deluxe King Studio,single bed,double bed,5193
2915,Axon Residence Bukit Bintang by Luna,One-Bedroom Apartment,,double bed,5294
2916,Happy Stay Apartment At Times Square,Deluxe Queen Studio,single bed,double bed,3304
2917,Chambers Suites KLCC By Sky pool,Deluxe Queen Studio,single bed,double bed,3221
2918,KLCC Suites at Platinum,Superior King Suite,single bed,double bed,5146
2919,The Tropicana KLCC By Sky pool,One-Bedroom Apartment,,double bed,4856
2920,"Crystal Suites at Eaton, KLCC",One-Bedroom Apartment,,double bed,7379
2921,Astar Hotel Bukit Bintang,Standard Queen Room,single bed,double bed,1911
2922,Star KLCC by AR Hosp,One-Bedroom Suite,,double bed,4769
2923,Sentral Serviced Suites Kuala Lumpur,Executive Suite,single bed,double bed,4237
2924,100 100 Service Suite@Times Square,One-Bedroom Apartment,single bed,double bed,2218
2925,Star Sky Park KLCC,One-Bedroom Suite,single bed,double bed,4371
2926,Ceylonz Suites KL City by One39KL,Deluxe Studio,,double bed,4283
2927,Opus Residences Kuala Lumpur 118 Tower,Superior Studio,single bed,double bed,4063
2928,Chambers Kuala Lumpur by Five Senses,Signature Studio,,double bed,3153
2929,Bintang Apartment Times Square KL,Studio Apartment,single bed,double bed,3200
2930,Axon Bukit Bintang Residence By Perkasa,Deluxe Queen Room,single bed,double bed,6192
2931,ASTRA @ Suite Platinum 2 KLCC,One-Bedroom Suite,,double bed,3575
2932,Sky Suites KLCC Kuala Lumpur City Centre By One39KL,Luxury Triple Room,single bed,double bed,8264
2933,Arcadia Suites At Reizz Residence,One-Bedroom Apartment,,double bed,2850
2934,The Western Suites at Axon Residence KL,Two-Bedroom Suite,single bed,double bed,9538
2935,CRYSTAL APARTMENT at TIMES SQUARE,Studio Apartment,single bed,double bed,2990
2936,BBS Apartment At Times Square,One-Bedroom Apartment,single bed,double bed,3676
2937,KL Apartments At BTS,Deluxe King Studio,single bed,double bed,5299
2938,Summer Suites KLCC by Luna,Deluxe Superior Suite,,double bed,2322
2939,Suites at Times Square KL,One-Bedroom Apartment,single bed,double bed,3856
2940,Star KLCC by Arman,One-Bedroom Suite,single bed,double bed,4505
2941,Platinum KLCC Pool View,One-Bedroom Apartment,,double bed,3821
2942,The klcc Suites Platinum,Deluxe Apartment,,double bed,4597
2943,Reizz Residence by Perkasa,Two-Bedroom Apartment,,double bed,6671
2944,Trump Apartment At Times Square,One-Bedroom Apartment,single bed,double bed,5821
2945,Millennium Suite At Opus Residence,One-Bedroom Apartment,,double bed,4067
2946,Platinum Victory KLCC by BHS,One-Bedroom Suite,,double bed,4414
2947,Vortex KLCC Serviced Apartments,Two-Bedroom Suite,,double bed,4084
2948,The Platinum KLCC by MOONWAY,One-Bedroom Apartment,,double bed,6672
2949,"Pavilion Ceylon Hill Suites, Bukit Bintang",1 Bedroom Executive Suite,,double bed,3569
2950,Sky Suites KLCC Kuala Lumpur,Two-Bedroom Apartment,,double bed,12738
2951,The Platinum KLCC by Arman,Superior Apartment,,double bed,3087
2952,Bintang Sky Villa Suites Times Square KL,One-Bedroom Villa,single bed,double bed,3967
2953,AXON RESIDENCES AT BUKIT BINTANG KUALA LAMPUR,Standard Studio,single bed,double bed,5565
2954,Hotel Pritty,Superior Queen Room,single bed,double bed,1368
2955,Bukit Bintang Suite at Times Square KL,Studio Suite,single bed,double bed,2850
2956,Star At KLCC by FZB,Superior Suite,single bed,double bed,4859
2957,The Platinum Kuala Lumpur by LUMA,Superior Apartment,single bed,double bed,3901
2958,Platinum Suites KLCC By Classy,One-Bedroom Apartment,,double bed,4761
2959,Scarletz Suites KLCC Twin Tower by Purple Orchid,Deluxe Junior Suite,,double bed,4283
2960,Vortex Suites KLCC by Luna,Premium Two-Bedroom Suite,,double bed,3263
2961,The Platinum Kuala Lumpur by Cozy White,One-Bedroom Apartment,,double bed,4761
2962,Anggun Service Suite KLCC,One-Bedroom Apartment,single bed,double bed,2857
2963,Malaysia Suites at Times Square KL,One-Bedroom Apartment,single bed,double bed,2495
2964,Grand Suites At Opus Kuala Lumpur,One-Bedroom Apartment,,double bed,3713
